Category,Value,Timestamp
Category 0,16,2024-01-01
Category 1,34,2024-01-02
Category 2,13,2024-01-03
Category 3,10,2024-01-04
Category 4,21,2024-01-05
Category 0,69,2024-01-06
Category 1,90,2024-01-07
Category 2,46,2024-01-08
Category 3,96,2024-01-09
Category 4,56,2024-01-10
Category 0,55,2024-01-11
Category 1,91,2024-01-12
Category 2,75,2024-01-13
Category 3,49,2024-01-14
Category 4,78,2024-01-15
Category 0,100,2024-01-16
Category 1,99,2024-01-17
Category 2,85,2024-01-18
Category 3,100,2024-01-19
Category 4,59,2024-01-20
Category 0,25,2024-01-21
Category 1,27,2024-01-22
Category 2,67,2024-01-23
Category 3,93,2024-01-24
Category 4,33,2024-01-25
Category 0,27,2024-01-26
Category 1,43,2024-01-27
Category 2,84,2024-01-28
Category 3,97,2024-01-29
Category 4,63,2024-01-30
Category 0,58,2024-01-31
Category 1,78,2024-02-01
Category 2,73,2024-02-02
Category 3,69,2024-02-03
Category 4,35,2024-02-04
Category 0,31,2024-02-05
Category 1,41,2024-02-06
Category 2,12,2024-02-07
Category 3,51,2024-02-08
Category 4,65,2024-02-09
Category 0,29,2024-02-10
Category 1,52,2024-02-11
Category 2,67,2024-02-12
Category 3,58,2024-02-13
Category 4,62,2024-02-14
Category 0,28,2024-02-15
Category 1,49,2024-02-16
Category 2,63,2024-02-17
Category 3,48,2024-02-18
Category 4,93,2024-02-19
Category 0,96,2024-02-20
Category 1,72,2024-02-21
Category 2,41,2024-02-22
Category 3,51,2024-02-23
Category 4,37,2024-02-24
Category 0,10,2024-02-25
Category 1,69,2024-02-26
Category 2,10,2024-02-27
Category 3,99,2024-02-28
Category 4,54,2024-02-29
Category 0,77,2024-03-01
Category 1,13,2024-03-02
Category 2,59,2024-03-03
Category 3,72,2024-03-04
Category 4,94,2024-03-05
Category 0,51,2024-03-06
Category 1,12,2024-03-07
Category 2,72,2024-03-08
Category 3,67,2024-03-09
Category 4,62,2024-03-10
Category 0,71,2024-03-11
Category 1,15,2024-03-12
Category 2,56,2024-03-13
Category 3,26,2024-03-14
Category 4,86,2024-03-15
Category 0,95,2024-03-16
Category 1,93,2024-03-17
Category 2,75,2024-03-18
Category 3,54,2024-03-19
Category 4,64,2024-03-20
Category 0,100,2024-03-21
Category 1,64,2024-03-22
Category 2,59,2024-03-23
Category 3,51,2024-03-24
Category 4,68,2024-03-25
Category 0,17,2024-03-26
Category 1,98,2024-03-27
Category 2,100,2024-03-28
Category 3,54,2024-03-29
Category 4,76,2024-03-30
Category 0,30,2024-03-31
Category 1,50,2024-04-01
Category 2,89,2024-04-02
Category 3,32,2024-04-03
Category 4,56,2024-04-04
Category 0,34,2024-04-05
Category 1,94,2024-04-06
Category 2,60,2024-04-07
Category 3,81,2024-04-08
Category 4,71,2024-04-09
Category 0,84,2024-04-10
Category 1,36,2024-04-11
Category 2,84,2024-04-12
Category 3,40,2024-04-13
Category 4,23,2024-04-14
Category 0,66,2024-04-15
Category 1,98,2024-04-16
Category 2,99,2024-04-17
Category 3,91,2024-04-18
Category 4,89,2024-04-19
Category 0,29,2024-04-20
Category 1,86,2024-04-21
Category 2,17,2024-04-22
Category 3,78,2024-04-23
Category 4,42,2024-04-24
Category 0,54,2024-04-25
Category 1,23,2024-04-26
Category 2,71,2024-04-27
Category 3,46,2024-04-28
Category 4,35,2024-04-29
Category 0,44,2024-04-30
Category 1,52,2024-05-01
Category 2,50,2024-05-02
Category 3,68,2024-05-03
Category 4,12,2024-05-04
Category 0,27,2024-05-05
Category 1,67,2024-05-06
Category 2,22,2024-05-07
Category 3,65,2024-05-08
Category 4,66,2024-05-09
Category 0,59,2024-05-10
Category 1,97,2024-05-11
Category 2,33,2024-05-12
Category 3,59,2024-05-13
Category 4,24,2024-05-14
Category 0,94,2024-05-15
Category 1,91,2024-05-16
Category 2,95,2024-05-17
Category 3,28,2024-05-18
Category 4,10,2024-05-19
Category 0,67,2024-05-20
Category 1,79,2024-05-21
Category 2,52,2024-05-22
Category 3,31,2024-05-23
Category 4,86,2024-05-24
Category 0,44,2024-05-25
Category 1,35,2024-05-26
Category 2,77,2024-05-27
Category 3,72,2024-05-28
Category 4,97,2024-05-29
Category 0,21,2024-05-30
Category 1,27,2024-05-31
Category 2,43,2024-06-01
Category 3,50,2024-06-02
Category 4,69,2024-06-03
Category 0,65,2024-06-04
Category 1,68,2024-06-05
Category 2,78,2024-06-06
Category 3,39,2024-06-07
Category 4,41,2024-06-08
Category 0,25,2024-06-09
Category 1,79,2024-06-10
Category 2,88,2024-06-11
Category 3,87,2024-06-12
Category 4,72,2024-06-13
Category 0,91,2024-06-14
Category 1,88,2024-06-15
Category 2,59,2024-06-16
Category 3,22,2024-06-17
Category 4,64,2024-06-18
Category 0,97,2024-06-19
Category 1,74,2024-06-20
Category 2,42,2024-06-21
Category 3,40,2024-06-22
Category 4,39,2024-06-23
Category 0,13,2024-06-24
Category 1,22,2024-06-25
Category 2,97,2024-06-26
Category 3,45,2024-06-27
Category 4,86,2024-06-28
Category 0,46,2024-06-29
Category 1,77,2024-06-30
Category 2,95,2024-07-01
Category 3,48,2024-07-02
Category 4,16,2024-07-03
Category 0,42,2024-07-04
Category 1,32,2024-07-05
Category 2,54,2024-07-06
Category 3,12,2024-07-07
Category 4,40,2024-07-08
Category 0,14,2024-07-09
Category 1,85,2024-07-10
Category 2,48,2024-07-11
Category 3,62,2024-07-12
Category 4,99,2024-07-13
Category 0,54,2024-07-14
Category 1,24,2024-07-15
Category 2,32,2024-07-16
Category 3,98,2024-07-17
Category 4,80,2024-07-18
Category 0,79,2024-07-19
Category 1,98,2024-07-20
Category 2,53,2024-07-21
Category 3,58,2024-07-22
Category 4,81,2024-07-23
Category 0,39,2024-07-24
Category 1,55,2024-07-25
Category 2,73,2024-07-26
Category 3,16,2024-07-27
Category 4,80,2024-07-28
Category 0,77,2024-07-29
Category 1,81,2024-07-30
Category 2,43,2024-07-31
Category 3,82,2024-08-01
Category 4,23,2024-08-02
Category 0,59,2024-08-03
Category 1,74,2024-08-04
Category 2,83,2024-08-05
Category 3,92,2024-08-06
Category 4,21,2024-08-07
Category 0,42,2024-08-08
Category 1,33,2024-08-09
Category 2,57,2024-08-10
Category 3,25,2024-08-11
Category 4,52,2024-08-12
Category 0,72,2024-08-13
Category 1,51,2024-08-14
Category 2,44,2024-08-15
Category 3,50,2024-08-16
Category 4,96,2024-08-17
Category 0,92,2024-08-18
Category 1,81,2024-08-19
Category 2,79,2024-08-20
Category 3,75,2024-08-21
Category 4,57,2024-08-22
Category 0,96,2024-08-23
Category 1,12,2024-08-24
Category 2,56,2024-08-25
Category 3,26,2024-08-26
Category 4,96,2024-08-27
Category 0,53,2024-08-28
Category 1,26,2024-08-29
Category 2,10,2024-08-30
Category 3,39,2024-08-31
Category 4,60,2024-09-01
Category 0,31,2024-09-02
Category 1,31,2024-09-03
Category 2,80,2024-09-04
Category 3,52,2024-09-05
Category 4,58,2024-09-06
Category 0,30,2024-09-07
Category 1,57,2024-09-08
Category 2,40,2024-09-09
Category 3,25,2024-09-10
Category 4,91,2024-09-11
Category 0,51,2024-09-12
Category 1,48,2024-09-13
Category 2,64,2024-09-14
Category 3,90,2024-09-15
Category 4,60,2024-09-16
Category 0,32,2024-09-17
Category 1,34,2024-09-18
Category 2,60,2024-09-19
Category 3,66,2024-09-20
