UserID,Age,Salary,ExperienceYears,Department,HoursPerWeek,PerformanceScore,Remote,Satisfaction,ProjectsHandled
1,56,39930,37,Sales,40,6.814878727049168,False,1,11
2,69,33285,35,Engineering,47,4.404037984420949,False,2,19
3,46,65863,16,Sales,31,9.48049557054005,True,5,8
4,32,46704,2,HR,57,9.63247677716093,True,1,7
5,60,48705,13,Marketing,35,3.1417509728973836,True,2,14
6,25,30555,12,HR,45,3.543953345633306,True,3,2
7,38,51323,26,Marketing,53,3.8272044076540457,False,5,12
8,56,100968,0,Engineering,36,8.221459517172413,True,1,1
9,36,96922,16,Sales,52,7.911456508431024,True,2,10
10,40,83915,33,Sales,48,9.831151047561281,False,5,1
11,28,139543,13,Marketing,41,4.652136770323601,False,2,10
12,28,40619,16,Support,47,7.36767094067595,True,3,8
13,41,102390,2,HR,39,8.567204698454749,True,2,13
14,53,138500,33,Sales,36,2.212304381339767,False,2,14
15,57,144337,39,Sales,33,6.205554275116324,False,3,10
16,41,89274,24,Marketing,46,5.477076763971988,False,4,1
17,20,103173,1,Support,46,7.428270050004,True,5,6
18,39,51225,33,HR,33,6.954279826176693,True,3,12
19,19,141266,25,Support,50,8.127926108516373,True,3,15
20,41,56739,30,Support,34,3.1114519035146393,False,5,13
21,61,77708,8,Marketing,30,2.1635639167359413,False,2,15
22,47,83019,29,Support,48,8.051987309074251,False,1,16
23,55,106154,19,HR,51,3.6056343102722996,True,5,12
24,19,132097,20,Engineering,55,2.8757355792657844,True,3,11
25,38,37373,28,Engineering,52,3.3681852552686955,False,2,12
26,50,65281,24,HR,40,0.6635399105102746,False,4,2
27,29,50187,37,Marketing,30,7.731443461572676,False,2,3
28,39,97863,24,Sales,37,7.1515965854007995,True,1,17
29,61,127927,8,Marketing,33,5.5269245382874,True,2,14
30,42,137113,38,HR,58,7.160849799072093,False,1,7
31,66,114085,25,Support,54,3.7313316674829524,False,4,14
32,44,147996,36,Engineering,56,2.9536907611037955,True,4,9
33,59,69220,15,Support,56,8.623009893481457,False,2,10
34,45,37642,36,Marketing,51,4.224545702892062,False,5,11
35,33,109971,11,HR,44,1.9591217178469011,False,5,11
36,32,85556,23,Engineering,46,7.490439156123414,True,5,19
