Category,Value,Timestamp
Category 0,38,2024-01-01
Category 1,45,2024-01-02
Category 2,73,2024-01-03
Category 3,43,2024-01-04
Category 4,83,2024-01-05
Category 0,64,2024-01-06
Category 1,78,2024-01-07
Category 2,46,2024-01-08
Category 3,48,2024-01-09
Category 4,16,2024-01-10
Category 0,26,2024-01-11
Category 1,86,2024-01-12
Category 2,50,2024-01-13
Category 3,13,2024-01-14
Category 4,36,2024-01-15
Category 0,22,2024-01-16
Category 1,68,2024-01-17
Category 2,91,2024-01-18
Category 3,57,2024-01-19
Category 4,14,2024-01-20
Category 0,81,2024-01-21
Category 1,11,2024-01-22
Category 2,50,2024-01-23
Category 3,72,2024-01-24
Category 4,66,2024-01-25
Category 0,21,2024-01-26
Category 1,17,2024-01-27
Category 2,53,2024-01-28
Category 3,77,2024-01-29
Category 4,84,2024-01-30
Category 0,16,2024-01-31
Category 1,62,2024-02-01
Category 2,73,2024-02-02
Category 3,63,2024-02-03
Category 4,68,2024-02-04
Category 0,84,2024-02-05
Category 1,97,2024-02-06
Category 2,49,2024-02-07
Category 3,27,2024-02-08
Category 4,99,2024-02-09
Category 0,31,2024-02-10
Category 1,22,2024-02-11
Category 2,55,2024-02-12
Category 3,29,2024-02-13
Category 4,29,2024-02-14
Category 0,39,2024-02-15
Category 1,43,2024-02-16
Category 2,28,2024-02-17
Category 3,77,2024-02-18
Category 4,21,2024-02-19
Category 0,24,2024-02-20
Category 1,34,2024-02-21
Category 2,50,2024-02-22
Category 3,25,2024-02-23
Category 4,21,2024-02-24
Category 0,14,2024-02-25
Category 1,30,2024-02-26
Category 2,48,2024-02-27
Category 3,22,2024-02-28
Category 4,100,2024-02-29
Category 0,27,2024-03-01
Category 1,83,2024-03-02
Category 2,31,2024-03-03
Category 3,41,2024-03-04
Category 4,87,2024-03-05
Category 0,21,2024-03-06
Category 1,32,2024-03-07
Category 2,93,2024-03-08
Category 3,20,2024-03-09
Category 4,97,2024-03-10
Category 0,70,2024-03-11
Category 1,12,2024-03-12
Category 2,84,2024-03-13
Category 3,96,2024-03-14
Category 4,74,2024-03-15
Category 0,60,2024-03-16
